Ten_Truyen,Tac_Gia,The_Loai,Tinh_Trang,Luot_Xem,Luot_Sao,Luot_Binh_Luan,Luot_Cam_On,Link
"Trọng sinh thiên kim thực phúc hắc: Cố thiếu, tự trọng",Na Thời Yên Hoa,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Kinh thương , Ngọt văn , Trọng sinh , Song khiết 🕊️ , Làm giàu , Hào môn thế gia , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra",Hoàn thành,1079407,254,10,51,https://wikicv.net/truyen/trong-sinh-thien-kim-thuc-phuc-hac-co-th-WO_T%7Eu8h7BcM63VJ
"Kinh thế y phi, phúc hắc Cửu hoàng thúc",Lục Y,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Xuyên việt , Y thuật",Hoàn thành,1078726,15,2,9,https://wikicv.net/truyen/kinh-the-y-phi-phuc-hac-cuu-hoang-thuc-WfBMzO8h7EUm5nou
Xuyên qua chi nông phụ thực nương,Nguyệt Bán Yếu Phân Gia,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Mỹ thực , Cường cường , Cưới trước yêu sau , Nhẹ nhàng , Bình bộ thanh vân , Ấm áp , Nữ cường , Nghịch tập , 1v1 , Bình dân sinh hoạt",Hoàn thành,1077826,882,69,395,https://wikicv.net/truyen/xuyen-qua-chi-nong-phu-thuc-nuong-W_QcdEbIjlJlPGsL
Địa phủ WeChat đàn: Lão công của ta là Minh Vương,Muội Chỉ Ái Cật Nhục,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Trinh thám , Huyền huyễn , Dị thế , Ngọt văn , Phong thủy , Phá án , Trộm mộ , Hài hước , Linh dị thần quái",Hoàn thành,1076750,7055,47,545,https://wikicv.net/truyen/dia-phu-wechat-dan-lao-cong-cua-ta-la-mi-WNE41e8h7B6SdM46
Xuyên thư 80: Ta thành bán nhi đổi lương nữ xứng,Nhất Chi Đằng La,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Hệ thống , Xuyên thư , Làm giàu , Nữ phụ , Thị giác nữ chủ , Niên đại văn",Hoàn thành,1076582,1595,41,201,https://wikicv.net/truyen/xuyen-thu-80-ta-thanh-ban-nhi-doi-luong--ZC%7ETOEbIjltOvTP8
Không gian chi người vợ bị bỏ rơi có ruộng tốt,Phúc Tinh Nhi,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Làm ruộng , Xuyên việt , Ngọt văn , Tùy thân không gian , Mỹ thực , Làm giàu , Hào môn thế gia , Cường cường",Hoàn thành,1075450,478,9,154,https://wikicv.net/truyen/khong-gian-chi-nguoi-vo-bi-bo-roi-co-ruo-WCkuxnCVfEZA6Z1d
Trọng sinh mật ái: Bá đạo Kỳ thiếu cố chấp sủng,Túc Túc,"Nguyên sang , Ngôn tình , Hiện đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Hào môn thế gia , Giới giải trí , Cường cường , Sảng văn , Đô thị tình duyên , Duyên trời tác hợp , Ngược tra , Vả mặt , 1v1",Hoàn thành,1063351,21,6,13,https://wikicv.net/truyen/trong-sinh-mat-ai-ba-dao-ky-thieu-co-cha-XT0yjVS4CDh9lkOC
"Xuyên nhanh: Hắc hóa BOSS, liêu nghiện",Nạp Lan Mặc,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , HE , Tình cảm , Khoa học viễn tưởng , Mạt thế , Huyền huyễn , Võng du , Ngọt văn , Hệ thống , Thần tiên yêu quái , Song khiết 🕊️ , Xuyên nhanh , Hào môn thế gia , Cẩu huyết , Vườn trường , Cung đình hầu tước , Nhẹ nhàng , Giang hồ ân oán , Hài hước , Tây huyễn , Ấm áp , Duyên trời tác hợp , Phương Tây , Linh dị thần quái , 1v1 , Thị giác nữ chủ",Hoàn thành,1063154,309,52,83,https://wikicv.net/truyen/xuyen-nhanh-hac-hoa-boss-lieu-nghien-WSRrre8h7E8PXL6K
Xuyên nhanh: Trùng tộc nữ vương nàng dựa sinh nhãi con nằm thắng / Xuyên nhanh chi Trùng tộc nữ vương nàng nhiều tử nhiều phúc,Thiên Niên A Phiêu A,"Nguyên sang , Ngôn tình , Cổ đại , Hiện đại , Tương lai , OE , Tình cảm , Xuyên việt , Hệ thống , Xuyên nhanh , Sinh con , NP , Pháo hôi , 1v1 , Thị giác nữ chủ , Trùng tộc",Còn tiếp,1063115,10758,321,2975,https://wikicv.net/truyen/xuyen-nhanh-trung-toc-nu-vuong-nang-dua--ZRbUAVS4CFKvWp2Q
"Trọng sinh sau, năm cái ca ca khóc lóc cầu ta hồi phủ",Mộ Miên Miên,"Nguyên sang , Ngôn tình , Cổ đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Sảng văn , Thị giác nữ chủ",Hoàn thành,1062037,1325,109,99,https://wikicv.net/truyen/trong-sinh-sau-nam-cai-ca-ca-khoc-loc-ca-YYZZEEbIjhZWydvW
